fast,slow,enter_breadth,exit_breadth,drop5,vol_ratio,cooldown,hedge_weight,base_cagr_train,base_dd_train,base_sharpe_train,cash_cagr_train,cash_dd_train,cash_sharpe_train,hedge_cagr_train,hedge_dd_train,hedge_sharpe_train,switches_train,risk_time_train,base_cagr_test,base_dd_test,base_sharpe_test,cash_cagr_test,cash_dd_test,cash_sharpe_test,hedge_cagr_test,hedge_dd_test,hedge_sharpe_test,switches_test,risk_time_test,cash_score_train,hedge_score_train,winner_train,score
5,20,0.8,0.5,0.03,1.0,5,0.25,-0.14613543488471537,-0.6205684445643727,-0.2814758285415203,-0.18743518852956143,-0.638586807534116,-0.6152707387117632,-0.1682651988863515,-0.6180768670582084,-0.5063261003652486,85,0.16246763892683966,0.15088854209685254,-0.28188090840313557,0.6433661054514228,0.04329151433088607,-0.33252717906886614,0.3161093577446942,0.07732327908447512,-0.29657961205982747,0.4258960519746227,36,0.07871315222258088,-0.03866823979216638,-0.008573304494653822,hedge,-0.008573304494653822
5,50,0.7,0.4,0.03,1.25,10,0.25,-0.14613543488471537,-0.6205684445643727,-0.2814758285415203,-0.17899320321589574,-0.6469558687902798,-0.5765541725906569,-0.16150819649711073,-0.6257291746705432,-0.47653231116401246,81,0.14537184551900445,0.15088854209685254,-0.28188090840313557,0.6433661054514228,0.061776703234703745,-0.31663057372800013,0.3864930233680517,0.08908583478835375,-0.2908300332580846,0.471415700370705,32,0.0761425284005123,-0.042816308391497304,-0.01284711091236826,hedge,-0.01284711091236826
5,20,0.7,0.4,0.03,1.25,5,0.25,-0.14613543488471537,-0.6205684445643727,-0.2814758285415203,-0.18583318316489533,-0.6492484129407218,-0.6449445634207019,-0.16536918778321397,-0.624136219675989,-0.5233608912329746,99,0.1981753912274283,0.15088854209685254,-0.28188090840313557,0.6433661054514228,0.004678234443543872,-0.33001669218877394,0.18932194328605087,0.04843286099504851,-0.3000757984248922,0.3360248339190096,44,0.0895787561044181,-0.0485288425164391,-0.013184651560865623,hedge,-0.013184651560865623
5,20,0.7,0.4,0.03,1.0,5,0.25,-0.14613543488471537,-0.6205684445643727,-0.2814758285415203,-0.19217771684610685,-0.6506437789141846,-0.6732719229393451,-0.1691415123857951,-0.624488297576585,-0.5382980434195254,113,0.2034631558472233,0.15088854209685254,-0.28188090840313557,0.6433661054514228,0.021170656138575217,-0.3227004105642266,0.2426261192536362,0.06181961189785945,-0.28613229264060897,0.3777525921602454,44,0.09516904942886596,-0.05309647533050765,-0.015422891762752189,hedge,-0.015422891762752189
5,20,0.8,0.5,0.03,1.25,5,0.25,-0.14613543488471537,-0.6205684445643727,-0.2814758285415203,-0.18857044162729686,-0.6465644328034164,-0.6206444589130353,-0.16930559510065374,-0.6245485261675511,-0.5111996229021993,83,0.16056649824242902,0.15088854209685254,-0.28188090840313557,0.6433661054514228,0.03257395865031226,-0.32653904821562874,0.28843641829855504,0.06837173269658359,-0.2935637081272803,0.403183100894043,34,0.07312285889813301,-0.047213491610334446,-0.015565161711147607,hedge,-0.015565161711147607
5,20,0.8,0.4,0.03,1.25,5,0.25,-0.14613543488471537,-0.6205684445643727,-0.2814758285415203,-0.18857044162729686,-0.6465644328034164,-0.6206444589130353,-0.16930559510065374,-0.6245485261675511,-0.5111996229021993,83,0.16056649824242902,0.15088854209685254,-0.28188090840313557,0.6433661054514228,0.03257395865031226,-0.32653904821562874,0.28843641829855504,0.06837173269658359,-0.2935637081272803,0.403183100894043,34,0.07312285889813301,-0.047213491610334446,-0.015565161711147607,hedge,-0.015565161711147607
10,20,0.7,0.5,0.03,1.25,5,0.25,-0.14613543488471537,-0.6205684445643727,-0.2814758285415203,-0.19581020298253632,-0.6470089378963662,-0.6772670948881168,-0.1732899850238357,-0.6233606537429149,-0.5475821152503182,91,0.1502873709609444,0.15088854209685254,-0.28188090840313557,0.6433661054514228,0.02867431775803292,-0.3264854181598152,0.27071347445557736,0.06644155953862341,-0.29239886461618564,0.39435308310953876,38,0.07494767641638118,-0.051277877380903975,-0.016369484248102445,hedge,-0.016369484248102445
5,20,0.8,0.4,0.05,1.0,10,0.25,-0.14613543488471537,-0.6205684445643727,-0.2814758285415203,-0.18115647100553506,-0.6495497824219327,-0.5498042449185179,-0.16446107702879753,-0.6299399961733955,-0.46010239942096737,71,0.12600267224890355,0.15088854209685254,-0.28188090840313557,0.6433661054514228,0.08774770437954305,-0.3203382233276145,0.44174813924477263,0.1105148953461309,-0.2869773616163153,0.5160425631735297,32,0.07343784166519154,-0.04649185591796992,-0.018534372681063893,hedge,-0.018534372681063893
5,20,0.8,0.5,0.05,1.0,10,0.25,-0.14613543488471537,-0.6205684445643727,-0.2814758285415203,-0.18115647100553506,-0.6495497824219327,-0.5498042449185179,-0.16446107702879753,-0.6299399961733955,-0.46010239942096737,71,0.12600267224890355,0.15088854209685254,-0.28188090840313557,0.6433661054514228,0.08774770437954305,-0.3203382233276145,0.44174813924477263,0.1105148953461309,-0.2869773616163153,0.5160425631735297,32,0.07343784166519154,-0.04649185591796992,-0.018534372681063893,hedge,-0.018534372681063893
5,20,0.7,0.4,0.03,1.25,10,0.5,-0.14613543488471537,-0.6205684445643727,-0.2814758285415203,-0.1742300594404919,-0.6259612926655979,-0.5558867863170041,-0.18785753386922932,-0.6477462551575821,-0.5635981362426532,83,0.16104178341353168,0.15088854209685254,-0.28188090840313557,0.6433661054514228,0.027340711945616714,-0.31860549979395664,0.26585745025576624,-0.018044490402905122,-0.3626690204178074,0.11262449996376392,38,0.07697163593198454,-0.019440160379113475,-0.04803886008546643,cash,-0.019440160379113475
