kind,lookback,threshold,regime,confirm,hold,sl,tp,cagr_train,worst_train,dd_train,sharpe_train,trades_train,win_train,cagr_test,worst_test,dd_test,sharpe_test,trades_test,win_test,score
shock,5,0.02,100,1.25,3,0.05,0.08,-0.07515619808663354,-0.12193956613420676,-0.27732325661058416,-0.3825394177801825,26.0,0.3076923076923077,0.051203456066682085,0.04079869792958868,-0.08258584963294896,0.6030627850283643,12.0,0.5833333333333334,-inf
shock,5,0.02,100,1.25,1,0.05,0.08,-0.07420691754765085,-0.10650150800336122,-0.30018023898737733,-0.5104766678629935,26.0,0.2692307692307692,0.03764578333179458,0.03718982827143291,-0.0659409854229312,0.4908045726832201,12.0,0.6666666666666666,-inf
continuation,3,0.02,100,1.25,1,0.05,0.08,-0.14286854710221325,-0.2116911743529437,-0.5471115820128543,-0.5185368893051988,147.0,0.46258503401360546,-0.10560836367277182,-0.13353750958258415,-0.3036692952693573,-0.8889036396585206,55.0,0.38181818181818183,-inf
continuation,3,0.02,100,1.25,3,0.05,0.08,-0.09405369151038745,-0.2004349611553471,-0.48893416880931057,-0.13026086893016675,144.0,0.4722222222222222,-0.08216061509257,-0.08694154058521109,-0.35763452253033656,-0.4289754874187127,53.0,0.39622641509433965,-inf
continuation,3,0.04,100,1.25,1,0.05,0.08,-0.15830856001768473,-0.28397238013340265,-0.45334228692395045,-0.7420579878477171,62.0,0.4032258064516129,-0.033308503240535914,-0.0715109188514309,-0.1106517345262612,-0.3777958034341008,15.0,0.3333333333333333,-inf
continuation,3,0.04,100,1.25,3,0.05,0.08,-0.13066998160924104,-0.2465026607942702,-0.41299925375824587,-0.42112928023712476,62.0,0.3709677419354839,-0.022215415140910466,-0.08182358562635306,-0.14026963044538537,0.013491811375946239,15.0,0.4,-inf
continuation,3,0.02,200,1.25,1,0.05,0.08,-0.18817084367744935,-0.26195821834686617,-0.6061032366589554,-0.7826009091498565,142.0,0.4084507042253521,-0.054719142498808104,-0.07843451839156856,-0.23665075686161252,-0.44497055222669135,46.0,0.45652173913043476,-inf
continuation,3,0.02,200,1.25,3,0.05,0.08,-0.09975500101717055,-0.2067973758213787,-0.5014615805625002,-0.1666130842163999,138.0,0.4782608695652174,-0.035864682074581045,-0.041004669489006496,-0.2702969702358564,-0.15044297674400592,44.0,0.4318181818181818,-inf
continuation,5,0.04,200,1.25,3,0.05,0.08,-0.14016137729248945,-0.25171795212484105,-0.4749118478670846,-0.49554776279603324,59.0,0.3559322033898305,-0.022215415140910466,-0.08182358562635306,-0.14026963044538537,0.013491811375946239,15.0,0.4,-inf
continuation,5,0.04,200,1.25,1,0.05,0.08,-0.14950509281975816,-0.26240146748100546,-0.4573211807147806,-0.7460684683479736,59.0,0.3728813559322034,-0.033308503240535914,-0.0715109188514309,-0.1106517345262612,-0.3777958034341008,15.0,0.3333333333333333,-inf
continuation,5,0.04,100,1.25,3,0.05,0.08,-0.154747216648497,-0.28088963083685614,-0.4631835616206691,-0.5608888231511365,59.0,0.3389830508474576,-0.022215415140910466,-0.08182358562635306,-0.14026963044538537,0.013491811375946239,15.0,0.4,-inf
continuation,5,0.04,100,1.25,1,0.05,0.08,-0.14800263878742254,-0.2593965594163342,-0.4401897224738423,-0.722446981900779,59.0,0.3898305084745763,-0.033308503240535914,-0.0715109188514309,-0.1106517345262612,-0.3777958034341008,15.0,0.3333333333333333,-inf
