strategy,market,params,train_cagr,train_dd,test_cagr,test_dd,test_sharpe,test_trades,win_rate,score
crash,3033.HK,"lb2,drop0.05,ma200,h1,sl0.05,tp0.06",-0.3819316881677548,-0.7910514636911042,-0.06769273886940719,-0.1421435026832767,-1.107636545253558,5,0.2,-0.5796945540905308
crash,3033.HK,"lb2,drop0.05,ma200,h1,sl0.05,tp0.1",-0.35649120789784483,-0.7617448090018304,-0.07065169432320417,-0.14704294472832624,-1.1746210046311951,5,0.2,-0.5469274101483024
crash,3033.HK,"lb2,drop0.05,ma200,h2,sl0.03,tp0.06",-0.41457497429836654,-0.8248706487159541,-0.0542440235835715,-0.1333017388109149,-0.9818830940706296,5,0.2,-0.620792636477355
crash,3033.HK,"lb2,drop0.05,ma200,h2,sl0.03,tp0.1",-0.37611109197252435,-0.7906366838431421,-0.036161896640996116,-0.1333017388109149,-0.5706457938123491,5,0.2,-0.5737702629333099
crash,3033.HK,"lb2,drop0.05,ma200,h2,sl0.05,tp0.06",-0.40870469699359646,-0.8285427617650196,-0.07278053114550931,-0.15451805405691743,-1.063452215389882,5,0.2,-0.6158403874348514
crash,3033.HK,"lb2,drop0.05,ma200,h2,sl0.05,tp0.1",-0.37051550779747044,-0.8084811736743083,-0.055052807972156614,-0.15451805405691765,-0.7306992779142599,5,0.2,-0.5726358012160475
crash,3033.HK,"lb2,drop0.05,ma200,h3,sl0.03,tp0.06",-0.41457497429836654,-0.8248706487159541,-0.0542440235835715,-0.1333017388109149,-0.9818830940706296,5,0.2,-0.620792636477355
crash,3033.HK,"lb2,drop0.05,ma200,h3,sl0.03,tp0.1",-0.37108246797085864,-0.7850955818961292,-0.036161896640996116,-0.1333017388109149,-0.5706457938123491,5,0.2,-0.5673563634448909
crash,3033.HK,"lb2,drop0.05,ma200,h3,sl0.05,tp0.06",-0.3639482219781185,-0.7825959120270092,-0.07278053114550931,-0.15451805405691743,-1.063452215389882,5,0.2,-0.5595971999848708
crash,3033.HK,"lb2,drop0.05,ma200,h3,sl0.05,tp0.1",-0.32170766020375663,-0.7633857645507597,-0.055052807972156614,-0.15451805405691765,-0.7306992779142599,5,0.2,-0.5125541013414465
crash,3033.HK,"lb2,drop0.07,ma50,h1,sl0.03,tp0.06",-0.28517082901019664,-0.7181106007662168,-0.12036924524752268,-0.242998892838731,-0.9299969590451406,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma50,h1,sl0.03,tp0.1",-0.2669688771773666,-0.6940766994064531,-0.12036924524752268,-0.242998892838731,-0.9299969590451406,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma50,h1,sl0.05,tp0.06",-0.28549963573929604,-0.7185323024515945,-0.12877168767900493,-0.25860716308947895,-0.9154424533263607,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma50,h1,sl0.05,tp0.1",-0.2673060564302636,-0.6945343553942529,-0.12877168767900493,-0.25860716308947895,-0.9154424533263607,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma50,h2,sl0.03,tp0.06",-0.2911355185120371,-0.7256926859419137,-0.12036924524752268,-0.242998892838731,-0.9299969590451406,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma50,h2,sl0.03,tp0.1",-0.2730854477095517,-0.702305233464972,-0.12036924524752268,-0.242998892838731,-0.9299969590451406,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma50,h2,sl0.05,tp0.06",-0.2817094539159307,-0.731146687004025,-0.12877168767900493,-0.25860716308947895,-0.9154424533263607,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma50,h2,sl0.05,tp0.1",-0.2549866551857213,-0.7082242428739707,-0.12877168767900493,-0.25860716308947895,-0.9154424533263607,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma50,h3,sl0.03,tp0.06",-0.2911355185120371,-0.7256926859419137,-0.12036924524752268,-0.242998892838731,-0.9299969590451406,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma50,h3,sl0.03,tp0.1",-0.2730854477095517,-0.702305233464972,-0.12036924524752268,-0.242998892838731,-0.9299969590451406,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma50,h3,sl0.05,tp0.06",-0.2817094539159307,-0.731146687004025,-0.12877168767900493,-0.25860716308947895,-0.9154424533263607,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma50,h3,sl0.05,tp0.1",-0.2549866551857213,-0.7082242428739707,-0.12877168767900493,-0.25860716308947895,-0.9154424533263607,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma100,h1,sl0.03,tp0.06",-0.29561891357300507,-0.7133097666061234,-0.12036924524752268,-0.242998892838731,-0.9299969590451406,2,0.0,-inf
