strategy,market,params,train_cagr,train_dd,test_cagr,test_dd,test_sharpe,test_trades,win_rate,score
crash,2800.HK,"lb5,drop0.03,ma100,h3,sl0.05,tp0.06",-0.015399126807399965,-0.48798793226247594,-0.13756921892222662,-0.519039455652133,-0.630133473720293,36,0.4166666666666667,-0.13739610987301895
crash,2800.HK,"lb3,drop0.07,ma100,h1,sl0.03,tp0.1",-0.06014810877276122,-0.3147264270798671,-0.0760506001699961,-0.19750565180469493,-0.9431513804885676,3,0.0,-0.138829715542728
crash,2800.HK,"lb3,drop0.07,ma50,h1,sl0.03,tp0.1",-0.06014810877276122,-0.3147264270798671,-0.0760506001699961,-0.19750565180469493,-0.9431513804885676,3,0.0,-0.138829715542728
crash,2800.HK,"lb3,drop0.07,ma100,h2,sl0.03,tp0.06",-0.06256353526477787,-0.31030865269979446,-0.0760506001699961,-0.19750565180469493,-0.9431513804885676,3,0.0,-0.14014069843972649
crash,2800.HK,"lb3,drop0.07,ma100,h3,sl0.03,tp0.06",-0.06256353526477787,-0.31030865269979446,-0.0760506001699961,-0.19750565180469493,-0.9431513804885676,3,0.0,-0.14014069843972649
crash,2800.HK,"lb3,drop0.07,ma50,h2,sl0.03,tp0.06",-0.06256353526477787,-0.31030865269979446,-0.0760506001699961,-0.19750565180469493,-0.9431513804885676,3,0.0,-0.14014069843972649
gap,2800.HK,"gap0.005,bars12,vf0.8",-0.16459958459071256,-0.02048364873417563,-0.00375006965755742,-0.00524291313832248,-0.17169183055258197,3,0.6666666666666666,-0.16972049677425646
gap,2800.HK,"gap0.005,bars12,vf1.0",-0.16459958459071256,-0.02048364873417563,-0.00375006965755742,-0.00524291313832248,-0.17169183055258197,3,0.6666666666666666,-0.16972049677425646
gap,2800.HK,"gap0.005,bars3,vf1.0",-0.2058145698744197,-0.026392531136918196,0.2734130403040085,0.0,4.990478978597129,3,1.0,-0.21241270265864926
gap,2800.HK,"gap0.005,bars3,vf0.8",-0.2058145698744197,-0.026392531136918196,0.2734130403040085,0.0,4.990478978597129,3,1.0,-0.21241270265864926
gap,2800.HK,"gap0.005,bars6,vf1.0",-0.22085841638488768,-0.02852099979301681,0.2170499176724039,0.0,5.194985339391389,3,1.0,-0.22798866633314188
gap,2800.HK,"gap0.005,bars6,vf0.8",-0.22085841638488768,-0.02852099979301681,0.2170499176724039,0.0,5.194985339391389,3,1.0,-0.22798866633314188
crash,3033.HK,"lb3,drop0.07,ma100,h3,sl0.03,tp0.1",-0.17868911212649075,-0.650846153063954,-0.15616032735746854,-0.3082689827173759,-1.2230774069720622,4,0.0,-0.34140065039247924
crash,3033.HK,"lb3,drop0.07,ma100,h2,sl0.03,tp0.1",-0.18447291105884567,-0.6508461530639542,-0.15616032735746854,-0.3082689827173759,-1.2230774069720622,4,0.0,-0.3471844493248342
crash,3033.HK,"lb3,drop0.07,ma100,h3,sl0.03,tp0.06",-0.19010276363717948,-0.6305229238627174,-0.15616032735746854,-0.3082689827173759,-1.2230774069720622,4,0.0,-0.34773349460285885
crash,3033.HK,"lb3,drop0.07,ma100,h2,sl0.03,tp0.06",-0.19010276363717948,-0.6305229238627174,-0.15616032735746854,-0.3082689827173759,-1.2230774069720622,4,0.0,-0.34773349460285885
crash,3033.HK,"lb3,drop0.07,ma100,h1,sl0.03,tp0.1",-0.19218655951109664,-0.6254445532472509,-0.15616032735746854,-0.3082689827173759,-1.2230774069720622,4,0.0,-0.3485476978229094
crash,3033.HK,"lb3,drop0.07,ma100,h1,sl0.03,tp0.06",-0.1916183709861452,-0.6327680535005918,-0.15616032735746854,-0.3082689827173759,-1.2230774069720622,4,0.0,-0.3498103843612932
crash,3033.HK,"lb3,drop0.07,ma100,h1,sl0.05,tp0.1",-0.20214357846394904,-0.648269713451503,-0.13746870276807643,-0.27457808101475856,-1.008650482657491,4,0.25,-0.3642110068268248
crash,3033.HK,"lb3,drop0.07,ma100,h1,sl0.05,tp0.06",-0.20158239336779482,-0.6551469244625234,-0.13746870276807643,-0.27457808101475856,-1.008650482657491,4,0.25,-0.3653691244834257
gap,3033.HK,"gap0.005,bars3,vf1.0",-0.42499466282401543,-0.06203486353468457,0.3033309524715253,-0.004507009431888198,3.6494039562350387,4,0.5,-0.4405033787076866
gap,3033.HK,"gap0.005,bars3,vf0.8",-0.42499466282401543,-0.06203486353468457,0.3033309524715253,-0.004507009431888198,3.6494039562350387,4,0.5,-0.4405033787076866
gap,3033.HK,"gap0.005,bars6,vf1.0",-0.5681143104124967,-0.09860619531360515,0.2641175520223513,-0.004532027239167236,3.5407610619600045,3,0.6666666666666666,-0.592765859240898
gap,3033.HK,"gap0.005,bars6,vf0.8",-0.5681143104124967,-0.09860619531360515,0.2641175520223513,-0.004532027239167236,3.5407610619600045,3,0.6666666666666666,-0.592765859240898
gap,3033.HK,"gap0.005,bars12,vf1.0",-0.6297396046064763,-0.10814751708734915,-0.13432147769776326,-0.02008883480641388,-3.254408000197318,4,0.25,-0.6567764838783136
gap,3033.HK,"gap0.005,bars12,vf0.8",-0.6297396046064763,-0.10814751708734915,-0.13432147769776326,-0.02008883480641388,-3.254408000197318,4,0.25,-0.6567764838783136
gap,2800.HK,"gap0.015,bars6,vf1.0",0.0,0.0,0.0,0.0,0.0,0,,-inf
