fast,slow,window,corr_max,tracking_min,weight,cooldown,base_cagr_train,base_dd_train,base_sharpe_train,hedge_cagr_train,hedge_dd_train,hedge_sharpe_train,switches_train,exposure_train,base_cagr_test,base_dd_test,base_sharpe_test,hedge_cagr_test,hedge_dd_test,hedge_sharpe_test,switches_test,exposure_test,cagr_delta_train,dd_delta_train,sharpe_delta_train,score
5,30,20,-0.7,0.5,0.25,10,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.05710744122946931,-0.3602401107242607,-0.2542450305318532,22,0.1684267945054487,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.05375878798612238,-0.24314121649029996,0.3935603569280667,14,0.07441175015879296,0.08902799365524605,0.2603283336174252,0.027230739752910404,0.30756540442033925
5,30,20,-0.7,1.0,0.25,10,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.05710744122946931,-0.3602401107242607,-0.2542450305318532,22,0.1684267945054487,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.05375878798612238,-0.24314121649029996,0.3935603569280667,14,0.07441175015879296,0.08902799365524605,0.2603283336174252,0.027230739752910404,0.30756540442033925
5,20,20,-0.7,0.5,0.25,5,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.05215719833024507,-0.3697716836948782,-0.24196282756677936,26,0.16131560787873456,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.07626889516562979,-0.2409805450668221,0.4897175336819061,16,0.08749590001770152,0.0939782365544703,0.2507967606468077,0.03951294271798425,0.30173717319584126
5,20,20,-0.7,1.0,0.25,5,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.05215719833024507,-0.3697716836948782,-0.24196282756677936,26,0.16131560787873456,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.07626889516562979,-0.2409805450668221,0.4897175336819061,16,0.08749590001770152,0.0939782365544703,0.2507967606468077,0.03951294271798425,0.30173717319584126
3,30,20,-0.7,0.5,0.25,5,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.04617146248573922,-0.374785793220783,-0.23078618562824255,26,0.16825963422145856,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.10975753071105532,-0.24098054506682193,0.5809822909369395,16,0.0813996168143528,0.09996397239897614,0.24578265112090292,0.05068958465652107,0.3008335957860431
3,30,20,-0.7,1.0,0.25,5,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.04617146248573922,-0.374785793220783,-0.23078618562824255,26,0.16825963422145856,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.10975753071105532,-0.24098054506682193,0.5809822909369395,16,0.0813996168143528,0.09996397239897614,0.24578265112090292,0.05068958465652107,0.3008335957860431
3,30,20,-0.7,1.0,0.25,10,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.04858198483641174,-0.374785793220783,-0.2389830284879036,26,0.16673710072572168,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.10640394248012319,-0.24098054506682193,0.5707322652300579,16,0.08025910586544768,0.09755345004830362,0.24578265112090292,0.04249274179686002,0.29880865032474074
3,30,20,-0.7,0.5,0.25,10,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.04858198483641174,-0.374785793220783,-0.2389830284879036,26,0.16673710072572168,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.10640394248012319,-0.24098054506682193,0.5707322652300579,16,0.08025910586544768,0.09755345004830362,0.24578265112090292,0.04249274179686002,0.29880865032474074
5,20,20,-0.7,1.0,0.25,10,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.060564705222110105,-0.3754142780455059,-0.278041981812034,26,0.15843770117125086,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.07322354495642408,-0.24314121649029985,0.47964222149250885,16,0.0863553890687964,0.08557072966260526,0.24515416629617998,0.0034337884727296264,0.2882829099747556
5,20,20,-0.7,0.5,0.25,10,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.060564705222110105,-0.3754142780455059,-0.278041981812034,26,0.15843770117125086,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.07322354495642408,-0.24314121649029985,0.47964222149250885,16,0.0863553890687964,0.08557072966260526,0.24515416629617998,0.0034337884727296264,0.2882829099747556
